Address         Source Code                                                                          Machine Code                      
(decimal)                                                                                            (binary)                          

0100            MAIN: add $3, $5,$9                                                                  000000 00011 00101 01001 00001 000000 
0104            LOOP: ori $9,-5,$2                                                                   001101 01001 00010 1111111111111011 
0108            la val1                                                                              011111 0 0000000000000000000000000 
0112            jmp Next                                                                             011110 0 0000000000000000001110100 
0116            Next: move $20,$4                                                                    000001 10100 00000 00100 00001 000000 
0120            bgt $4,$2,END                                                                        010010 00100 00010 0000000000011100 
0124            la K                                                                                 011111 0 0000000000000000010100001 
0128            sw $0,4,$10                                                                          010110 00000 01010 0000000000000100 
0132            bne $31,$9, LOOP                                                                     001111 11111 01001 1111111111100100 
0136            call val1                                                                            100000 0 0000000000000000000000000 
0140            jmp $4                                                                               011110 1 0000000000000000000000100 
0144            la wNumber                                                                           011111 0 0000000000000000000000000 
0148            END:stop                                                                             111111 0 0000000000000000000000000 
